PRODUCT_ID,PRODUCT_METADATA
6140,Pets
383,Juice
6212,Cleaning 
5381,Hemp Topicals + Tinctures
3148,Nuts + Fruits
4811,Functional
860,Coffee
989,Crackers
3336,Baking
6504,Chips + Crisps
5956,Bath + Body Care
5273,Hemp
6052,Spice + Seasoning
5990,Cleaning 
5976,Kitchenware
4646,Honey
5938,Skin Care
4946,Hot sauce
6095,Crackers
6285,Baking
5096,Spice + Seasoning
6292,Snack Bites
863,Juice
5955,Bath + Body Care
176,Gut Health
6524,Supplements
5947,Personal Care
5105,"Pasta, Noodles + Sauces"
5953,Oral Care
6007,Kitchenware
6036,Nuts + Fruits
3077,Meat + Seafood
4927,Performance Nutrition
4931,Mixers
4236,"Sauces, Salsas + Dips"
6088,Sweeteners + Syrup
5304,Hemp Ingestibles
6122,Spice + Seasoning
5431,"Rice, Beans + Grains"
6303,Performance Nutrition
6310,Functional
5604,Coffee
6043,Superfood Mixes + Granola
2849,Hot sauce
6091,Sweeteners + Syrup
2276,Superfood Mixes + Granola
6110,"Rice, Beans + Grains"
5310,Popped + Puffed
6111,"Rice, Beans + Grains"
5421,Chocolate
6191,Hemp Topicals + Tinctures
4949,Pets
5321,Snack Bars
4660,Functional
5456,Soup + Broth
4950,Hot sauce
3788,Personal Care
5450,Functional Foods
5461,Nuts + Fruits
5464,Nuts + Fruits
5518,Popped + Puffed
4257,Confections
4953,Chips + Crisps
4582,Skin Care
5473,Functional Foods
5116,Zero-Proof NA
5618,Baking
4319,Performance Nutrition
2636,Fruit Spreads + Preserves
2753,Snack Bars
6525,Zero-Proof NA
4707,Oil + Vinegar
5360,Hemp Ingestibles
4608,Performance Nutrition
6607,Supplements
4454,Baking
6164,Kitchenware
3170,Dessert
4648,Honey
5943,Skin Care
5967,Bath + Body Care
5969,Bath + Body Care
1077,Nuts + Fruits
5970,Bath + Body Care
5944,Skin Care
5979,Cleaning 
5523,Hemp Edibles
6014,Cleaning 
5571,Desserts
5258,Performance Nutrition
6078,"Rice, Beans + Grains"
2161,Hemp Topicals + Tinctures
4839,Spice + Seasoning
5422,Chocolate
4914,"Sauces, Salsas + Dips"
6137,Supplements
6138,Pets
4503,Oatmeal + cereals
4318,Oral Care
3958,Oil + Vinegar
5504,Tea
4885,Hemp Ingestibles
4683,Spice + Seasoning
2624,Cheese + Plant Based Cheese
6028,Cleaning 
6092,Sweeteners + Syrup
3031,Oral Care
4917,Condiments
5107,Tea
5101,Chocolate
4848,Condiments
4951,Hot sauce
4651,Chips + Crisps
6319,Popped + Puffed
5593,Condiments
5449,Baking
4309,Oral Care
6325,"Pasta, Noodles + Sauces"
3930,Functional
