product,week_start,sales
4651,2022-01-03,0
4655,2022-01-03,0
4658,2022-01-03,0
4659,2022-01-03,0
4660,2022-01-03,0
4661,2022-01-03,2
4665,2022-01-03,12
4666,2022-01-03,8
4667,2022-01-03,0
4670,2022-01-03,0
4673,2022-01-03,0
4674,2022-01-03,0
4699,2022-01-03,0
4704,2022-01-03,6
4705,2022-01-03,0
4707,2022-01-03,0
4708,2022-01-03,0
4711,2022-01-03,0
4712,2022-01-03,0
4713,2022-01-03,2
4714,2022-01-03,5
4717,2022-01-03,0
4718,2022-01-03,0
4719,2022-01-03,0
4723,2022-01-03,0
4724,2022-01-03,0
4725,2022-01-03,0
4726,2022-01-03,0
4728,2022-01-03,0
4730,2022-01-03,0
4755,2022-01-03,0
4765,2022-01-03,0
4768,2022-01-03,53
4769,2022-01-03,0
4771,2022-01-03,0
4773,2022-01-03,0
4775,2022-01-03,0
4777,2022-01-03,10
4780,2022-01-03,0
4787,2022-01-03,0
4789,2022-01-03,0
4799,2022-01-03,0
4804,2022-01-03,12
4812,2022-01-03,0
4814,2022-01-03,0
4816,2022-01-03,0
4818,2022-01-03,0
4819,2022-01-03,0
4824,2022-01-03,0
4826,2022-01-03,0
4828,2022-01-03,0
4830,2022-01-03,0
4831,2022-01-03,0
4832,2022-01-03,0
4833,2022-01-03,0
4836,2022-01-03,0
4837,2022-01-03,0
4839,2022-01-03,0
4843,2022-01-03,0
4845,2022-01-03,0
4859,2022-01-03,0
4862,2022-01-03,0
4863,2022-01-03,0
4867,2022-01-03,1
4889,2022-01-03,0
4890,2022-01-03,0
4892,2022-01-03,0
4902,2022-01-03,0
4904,2022-01-03,0
4911,2022-01-03,0
4926,2022-01-03,0
4927,2022-01-03,0
4929,2022-01-03,0
4938,2022-01-03,0
4942,2022-01-03,0
4943,2022-01-03,0
4946,2022-01-03,0
4950,2022-01-03,0
4951,2022-01-03,0
4957,2022-01-03,0
4964,2022-01-03,0
4973,2022-01-03,0
4974,2022-01-03,0
4975,2022-01-03,0
4976,2022-01-03,0
4977,2022-01-03,0
4979,2022-01-03,0
4980,2022-01-03,0
4984,2022-01-03,0
4990,2022-01-03,0
4994,2022-01-03,0
4995,2022-01-03,0
4997,2022-01-03,0
5000,2022-01-03,0
5004,2022-01-03,0
5010,2022-01-03,0
5012,2022-01-03,0
5014,2022-01-03,0
5018,2022-01-03,0
5019,2022-01-03,0
5021,2022-01-03,0
5028,2022-01-03,0
5030,2022-01-03,0
5031,2022-01-03,0
5033,2022-01-03,0
5034,2022-01-03,0
5037,2022-01-03,0
5040,2022-01-03,0
5041,2022-01-03,0
5046,2022-01-03,0
5047,2022-01-03,0
5051,2022-01-03,0
5055,2022-01-03,0
5059,2022-01-03,0
5064,2022-01-03,0
5065,2022-01-03,0
5066,2022-01-03,0
5069,2022-01-03,0
5070,2022-01-03,0
5071,2022-01-03,0
5072,2022-01-03,0
5075,2022-01-03,0
5076,2022-01-03,0
5077,2022-01-03,0
5079,2022-01-03,0
5082,2022-01-03,0
5083,2022-01-03,0
5086,2022-01-03,0
5088,2022-01-03,0
5091,2022-01-03,0
5094,2022-01-03,0
5097,2022-01-03,0
5102,2022-01-03,0
5104,2022-01-03,0
5105,2022-01-03,0
5112,2022-01-03,0
5123,2022-01-03,0
5126,2022-01-03,0
5128,2022-01-03,0
5131,2022-01-03,0
5134,2022-01-03,0
5136,2022-01-03,0
5137,2022-01-03,0
5141,2022-01-03,0
5142,2022-01-03,0
5143,2022-01-03,0
5144,2022-01-03,0
5145,2022-01-03,0
5146,2022-01-03,0
5147,2022-01-03,0
5148,2022-01-03,0
5149,2022-01-03,0
5155,2022-01-03,0
5160,2022-01-03,0
5163,2022-01-03,0
5164,2022-01-03,0
5176,2022-01-03,0
5177,2022-01-03,0
5178,2022-01-03,0
5185,2022-01-03,0
5193,2022-01-03,0
5203,2022-01-03,0
5206,2022-01-03,0
5207,2022-01-03,0
5216,2022-01-03,0
5217,2022-01-03,0
5219,2022-01-03,0
5220,2022-01-03,0
5222,2022-01-03,0
5223,2022-01-03,0
5224,2022-01-03,0
5225,2022-01-03,0
5227,2022-01-03,0
5228,2022-01-03,0
5232,2022-01-03,0
5246,2022-01-03,0
5255,2022-01-03,0
5261,2022-01-03,0
5262,2022-01-03,0
5267,2022-01-03,0
5270,2022-01-03,0
5271,2022-01-03,0
5273,2022-01-03,0
5274,2022-01-03,0
5282,2022-01-03,0
5284,2022-01-03,0
5301,2022-01-03,0
5308,2022-01-03,0
5310,2022-01-03,0
5317,2022-01-03,0
5321,2022-01-03,0
5325,2022-01-03,0
5329,2022-01-03,0
5330,2022-01-03,0
5333,2022-01-03,0
5339,2022-01-03,0
5341,2022-01-03,0
5345,2022-01-03,0
5348,2022-01-03,0
5366,2022-01-03,0
5401,2022-01-03,0
5403,2022-01-03,0
5404,2022-01-03,0
5409,2022-01-03,0
5415,2022-01-03,0
5427,2022-01-03,0
5428,2022-01-03,0
5436,2022-01-03,0
5454,2022-01-03,0
5456,2022-01-03,0
5477,2022-01-03,0
5484,2022-01-03,0
5532,2022-01-03,0
6267,2022-01-03,0
155,2022-01-10,0
156,2022-01-10,4
166,2022-01-10,0
242,2022-01-10,4
300,2022-01-10,3
317,2022-01-10,18
337,2022-01-10,0
359,2022-01-10,28
362,2022-01-10,5
372,2022-01-10,0
416,2022-01-10,4
453,2022-01-10,0
466,2022-01-10,4
479,2022-01-10,63
527,2022-01-10,1
532,2022-01-10,0
557,2022-01-10,1
574,2022-01-10,4
576,2022-01-10,2
578,2022-01-10,0
579,2022-01-10,0
580,2022-01-10,4
581,2022-01-10,0
590,2022-01-10,0
591,2022-01-10,0
605,2022-01-10,0
608,2022-01-10,0
694,2022-01-10,18
706,2022-01-10,0
707,2022-01-10,0
735,2022-01-10,0
846,2022-01-10,0
847,2022-01-10,2
852,2022-01-10,0
912,2022-01-10,0
916,2022-01-10,0
956,2022-01-10,1
970,2022-01-10,0
971,2022-01-10,0
975,2022-01-10,0
1031,2022-01-10,0
1033,2022-01-10,0
1035,2022-01-10,0
1038,2022-01-10,0
1041,2022-01-10,2
1042,2022-01-10,8
1053,2022-01-10,2
1059,2022-01-10,0
1067,2022-01-10,8
1101,2022-01-10,2
1102,2022-01-10,3
1103,2022-01-10,1
1105,2022-01-10,5
1107,2022-01-10,0
1108,2022-01-10,0
1109,2022-01-10,0
1118,2022-01-10,3
1139,2022-01-10,0
1140,2022-01-10,0
1168,2022-01-10,8
1169,2022-01-10,0
1178,2022-01-10,0
1193,2022-01-10,1
1202,2022-01-10,0
1241,2022-01-10,4
1248,2022-01-10,0
1250,2022-01-10,2
1287,2022-01-10,1
1288,2022-01-10,0
1289,2022-01-10,0
1304,2022-01-10,16
1305,2022-01-10,17
1306,2022-01-10,0
1336,2022-01-10,42
1866,2022-01-10,7
1867,2022-01-10,3
1899,2022-01-10,3
1900,2022-01-10,0
1902,2022-01-10,17
1917,2022-01-10,7
1918,2022-01-10,4
1939,2022-01-10,15
1960,2022-01-10,2
1993,2022-01-10,0
2030,2022-01-10,0
2048,2022-01-10,0
2071,2022-01-10,0
2097,2022-01-10,1
2098,2022-01-10,0
2099,2022-01-10,1
2101,2022-01-10,0
2102,2022-01-10,1
2103,2022-01-10,1
2117,2022-01-10,0
2122,2022-01-10,0
2126,2022-01-10,22
2138,2022-01-10,2
2142,2022-01-10,0
2158,2022-01-10,1
2163,2022-01-10,41
2166,2022-01-10,13
2177,2022-01-10,4
2178,2022-01-10,6
2184,2022-01-10,0
2190,2022-01-10,0
2191,2022-01-10,10
2193,2022-01-10,9
2227,2022-01-10,0
2251,2022-01-10,0
2252,2022-01-10,10
2253,2022-01-10,0
2270,2022-01-10,3
2276,2022-01-10,0
2277,2022-01-10,0
2279,2022-01-10,0
2292,2022-01-10,0
2293,2022-01-10,0
2309,2022-01-10,23
2317,2022-01-10,1
2323,2022-01-10,8
2331,2022-01-10,0
2333,2022-01-10,150
2334,2022-01-10,0
2343,2022-01-10,81
2357,2022-01-10,0
2367,2022-01-10,0
2387,2022-01-10,0
2389,2022-01-10,0
2401,2022-01-10,5
2402,2022-01-10,3
2403,2022-01-10,6
2409,2022-01-10,0
2410,2022-01-10,7
2412,2022-01-10,0
2419,2022-01-10,3
2420,2022-01-10,1
2425,2022-01-10,0
