product,week_start,sales,last-1_week_sales,last-1_week_diff,last-2_week_sales,last-2_week_diff
3216,2022-03-14,5,10.0,-21.0,31.0,19.0
3217,2022-03-14,4,1.0,-9.0,10.0,10.0
3232,2022-03-14,0,9.0,9.0,0.0,0.0
3239,2022-03-14,40,9.0,-64.0,73.0,21.0
3240,2022-03-14,0,4.0,-1.0,5.0,5.0
3255,2022-03-14,0,0.0,0.0,0.0,0.0
3256,2022-03-14,0,0.0,0.0,0.0,-1.0
3258,2022-03-14,0,0.0,0.0,0.0,0.0
3260,2022-03-14,0,2.0,-8.0,10.0,10.0
3261,2022-03-14,0,1.0,1.0,0.0,0.0
3264,2022-03-14,0,0.0,0.0,0.0,0.0
3265,2022-03-14,41,10.0,-20.0,30.0,3.0
3268,2022-03-14,18,24.0,14.0,10.0,-8.0
3270,2022-03-14,4,3.0,-3.0,6.0,6.0
3271,2022-03-14,0,3.0,3.0,0.0,0.0
3280,2022-03-14,0,0.0,0.0,0.0,0.0
3283,2022-03-14,0,0.0,0.0,0.0,-4.0
3284,2022-03-14,1,0.0,-2.0,2.0,2.0
3304,2022-03-14,2,0.0,0.0,0.0,-2.0
3307,2022-03-14,24,32.0,23.0,9.0,-30.0
3312,2022-03-14,0,0.0,0.0,0.0,-2.0
3317,2022-03-14,1,0.0,-10.0,10.0,6.0
3344,2022-03-14,0,0.0,0.0,0.0,0.0
3351,2022-03-14,5,29.0,-9.0,38.0,13.0
3357,2022-03-14,4,0.0,-4.0,4.0,4.0
3410,2022-03-14,0,2.0,2.0,0.0,0.0
3414,2022-03-14,0,0.0,-18.0,18.0,18.0
3417,2022-03-14,0,0.0,0.0,0.0,0.0
3421,2022-03-14,0,0.0,0.0,0.0,0.0
3429,2022-03-14,0,0.0,0.0,0.0,0.0
3430,2022-03-14,0,0.0,0.0,0.0,0.0
3440,2022-03-14,2,11.0,-1.0,12.0,6.0
3443,2022-03-14,3,0.0,0.0,0.0,0.0
3446,2022-03-14,0,0.0,-1.0,1.0,1.0
3480,2022-03-14,0,0.0,0.0,0.0,0.0
3481,2022-03-14,1,4.0,3.0,1.0,0.0
3482,2022-03-14,2,5.0,5.0,0.0,-1.0
3486,2022-03-14,0,0.0,0.0,0.0,0.0
3492,2022-03-14,0,0.0,0.0,0.0,0.0
3502,2022-03-14,5,0.0,0.0,0.0,-5.0
3506,2022-03-14,0,0.0,-2.0,2.0,2.0
3511,2022-03-14,0,0.0,-2.0,2.0,1.0
3516,2022-03-14,0,0.0,0.0,0.0,0.0
3518,2022-03-14,0,0.0,0.0,0.0,-10.0
3520,2022-03-14,52,7.0,5.0,2.0,1.0
3521,2022-03-14,34,22.0,6.0,16.0,-13.0
3527,2022-03-14,0,0.0,0.0,0.0,0.0
3531,2022-03-14,0,0.0,0.0,0.0,0.0
3543,2022-03-14,4,6.0,2.0,4.0,4.0
3560,2022-03-14,0,0.0,0.0,0.0,0.0
3563,2022-03-14,0,0.0,0.0,0.0,0.0
3565,2022-03-14,0,0.0,0.0,0.0,0.0
3566,2022-03-14,0,0.0,0.0,0.0,0.0
3567,2022-03-14,0,0.0,0.0,0.0,0.0
3568,2022-03-14,0,0.0,0.0,0.0,0.0
3570,2022-03-14,2,0.0,-2.0,2.0,2.0
3571,2022-03-14,10,0.0,0.0,0.0,-11.0
3574,2022-03-14,4,16.0,16.0,0.0,-17.0
3575,2022-03-14,0,0.0,0.0,0.0,0.0
3576,2022-03-14,0,0.0,0.0,0.0,0.0
3579,2022-03-14,0,0.0,-1.0,1.0,1.0
3582,2022-03-14,19,38.0,15.0,23.0,14.0
3584,2022-03-14,0,0.0,0.0,0.0,0.0
3585,2022-03-14,3,2.0,2.0,0.0,0.0
3595,2022-03-14,0,0.0,0.0,0.0,0.0
3597,2022-03-14,0,0.0,0.0,0.0,-1.0
3598,2022-03-14,2,8.0,4.0,4.0,4.0
3605,2022-03-14,0,6.0,-24.0,30.0,30.0
3607,2022-03-14,0,0.0,0.0,0.0,0.0
3612,2022-03-14,0,0.0,0.0,0.0,0.0
3615,2022-03-14,8,10.0,-3.0,13.0,11.0
3617,2022-03-14,2,7.0,2.0,5.0,4.0
3624,2022-03-14,0,0.0,0.0,0.0,0.0
3626,2022-03-14,6,4.0,4.0,0.0,0.0
3639,2022-03-14,0,0.0,0.0,0.0,0.0
3660,2022-03-14,0,0.0,-5.0,5.0,-2.0
3668,2022-03-14,123,92.0,44.0,48.0,-39.0
3672,2022-03-14,2,3.0,-5.0,8.0,5.0
3674,2022-03-14,0,0.0,0.0,0.0,-1.0
3686,2022-03-14,6,6.0,-1.0,7.0,1.0
3689,2022-03-14,0,0.0,0.0,0.0,-1.0
3690,2022-03-14,1,5.0,5.0,0.0,-1.0
3701,2022-03-14,85,92.0,-58.0,150.0,91.0
3702,2022-03-14,7,13.0,1.0,12.0,12.0
3703,2022-03-14,2,0.0,0.0,0.0,0.0
